73,Paraguay,2006-02-15T04:44:00.000+05:30
74,Peru,2006-02-15T04:44:00.000+05:30
75,Philippines,2006-02-15T04:44:00.000+05:30
76,Poland,2006-02-15T04:44:00.000+05:30
77,Puerto Rico,2006-02-15T04:44:00.000+05:30
78,Romania,2006-02-15T04:44:00.000+05:30
79,Runion,2006-02-15T04:44:00.000+05:30
80,Russian Federation,2006-02-15T04:44:00.000+05:30
81,Saint Vincent and the Grenadines,2006-02-15T04:44:00.000+05:30
82,Saudi Arabia,2006-02-15T04:44:00.000+05:30
83,Senegal,2006-02-15T04:44:00.000+05:30
84,Slovakia,2006-02-15T04:44:00.000+05:30
85,South Africa,2006-02-15T04:44:00.000+05:30
86,South Korea,2006-02-15T04:44:00.000+05:30
87,Spain,2006-02-15T04:44:00.000+05:30
88,Sri Lanka,2006-02-15T04:44:00.000+05:30
89,Sudan,2006-02-15T04:44:00.000+05:30
90,Sweden,2006-02-15T04:44:00.000+05:30
91,Switzerland,2006-02-15T04:44:00.000+05:30
92,Taiwan,2006-02-15T04:44:00.000+05:30
93,Tanzania,2006-02-15T04:44:00.000+05:30
94,Thailand,2006-02-15T04:44:00.000+05:30
95,Tonga,2006-02-15T04:44:00.000+05:30
96,Tunisia,2006-02-15T04:44:00.000+05:30
97,Turkey,2006-02-15T04:44:00.000+05:30
98,Turkmenistan,2006-02-15T04:44:00.000+05:30
99,Tuvalu,2006-02-15T04:44:00.000+05:30
100,Ukraine,2006-02-15T04:44:00.000+05:30
101,United Arab Emirates,2006-02-15T04:44:00.000+05:30
102,United Kingdom,2006-02-15T04:44:00.000+05:30
103,United States,2006-02-15T04:44:00.000+05:30
104,Venezuela,2006-02-15T04:44:00.000+05:30
105,Vietnam,2006-02-15T04:44:00.000+05:30
106,"Virgin Islands, U.S.",2006-02-15T04:44:00.000+05:30
107,Yemen,2006-02-15T04:44:00.000+05:30
108,Yugoslavia,2006-02-15T04:44:00.000+05:30
109,Zambia,2006-02-15T04:44:00.000+05:30
